,Customer ID,Age,Gender,Marital Status,Income Level,Education,Occupation,Residential Status,Dependents,Debt-to-Income,Credit_Bureau,last_3months_personal_loan_inq,last_3months_credit_card_inq,last_3months_mortgage_inq,last_6months_personal_loan_inq,last_6months_credit_card_inq,last_6months_mortgage_inq
63,daf5bb63-bd54-42d7-85ed-fa342255152b,20,Female,Widowed,High,High School,Translator,Living with parents,"(0,)","(0.38,)",511,True,True,True,False,True,True
64,8cf6595b-2ac5-48a4-9476-9f5ce0dd67be,56,Male,Single,High,High School,"Lecturer, higher education",Owns house,"(1,)","(0.29,)",435,True,True,False,False,True,True
65,fcef8036-c5ea-4aaf-9e1a-7e721d4387a7,47,Male,Single,High,College,"Horticulturist, amenity",Owns house,"(1,)","(0.4,)",647,False,False,True,True,True,True
66,eaa91678-b5fa-41ce-9e20-1fd1aa9525e8,60,Female,Married,Medium,High School,Learning disability nurse,Living with parents,"(0,)","(0.3,)",449,True,True,True,True,False,True
67,a6c91705-2e33-445d-a2b3-38593d61d3cf,31,Male,Widowed,High,College,"Production assistant, television",Living with parents,"(0,)","(0.19,)",771,False,False,True,False,True,True
68,55b94a61-83f4-4898-8611-c92d975b621d,65,Female,Married,Medium,University,Surgeon,Living with parents,"(4,)","(0.38,)",553,True,False,False,True,True,False
69,8e839ade-8a8b-403b-a70d-58c85f1682a7,68,Female,Single,Low,University,"Surveyor, insurance",Rents,"(1,)","(0.43,)",496,False,False,True,True,True,False
70,f262fdfa-5a8d-4f14-b819-9168d7b2301b,57,Male,Divorced,High,High School,Social worker,Rents,"(3,)","(0.29,)",499,False,False,True,False,True,True
71,9d639f78-c818-49a6-a847-a73bb42be0e1,64,Male,Married,Low,University,"Surveyor, quantity",Living with parents,"(4,)","(0.11,)",508,True,False,True,False,True,True
72,23a4a6d3-560e-4927-83df-a055fb220689,64,Male,Divorced,High,University,Child psychotherapist,Rents,"(0,)","(0.21,)",419,True,True,True,True,True,True
73,3a191c23-2aad-401b-980d-43fd84fedd6e,40,Male,Widowed,High,High School,Quantity surveyor,Living with parents,"(4,)","(0.4,)",522,False,False,True,False,True,True
74,520e9ce8-a59f-43a2-ac81-53d63d3a11c1,59,Male,Divorced,High,University,"Surveyor, planning and development",Living with parents,"(2,)","(0.21,)",744,False,False,True,True,False,True
75,b51d2c02-125e-495c-bf38-060132fe24de,37,Male,Widowed,Low,High School,"Engineer, aeronautical",Owns house,"(0,)","(0.14,)",500,False,True,False,False,True,True
76,d5527a66-a46c-44ff-95f5-69730689e66d,55,Female,Widowed,Medium,University,"Psychologist, sport and exercise",Living with parents,"(1,)","(0.26,)",654,False,False,True,True,True,True
77,12aefcb1-b584-460e-bfdd-544f4421184c,59,Male,Married,High,High School,Human resources officer,Living with parents,"(0,)","(0.28,)",455,True,True,False,False,False,True
78,292281f6-259a-4713-8ed0-8e7de5eeb605,26,Female,Divorced,High,High School,Academic librarian,Rents,"(0,)","(0.43,)",731,True,False,False,True,True,True
79,71b7a294-e57c-4e12-8027-a8e4f1d595ff,22,Female,Divorced,High,High School,Photographer,Living with parents,"(1,)","(0.16,)",648,True,False,True,True,True,False
80,70cf75f4-9f34-428d-aba1-a6cb244c1e4f,27,Male,Married,Medium,College,Jewellery designer,Owns house,"(5,)","(0.16,)",541,False,True,True,True,True,True
81,40f815a3-bdb5-4087-a53f-a4eeb69b24c0,24,Female,Divorced,Medium,University,"Merchandiser, retail",Rents,"(1,)","(0.38,)",841,False,False,True,False,True,False
82,328f6219-148b-4f63-a543-04edb7b0d6ab,57,Female,Single,Low,College,Housing manager/officer,Rents,"(0,)","(0.29,)",668,True,True,True,False,True,False
83,6fb894d4-8e16-421c-a3d2-02b4deae78d9,54,Female,Single,High,College,"Therapist, nutritional",Rents,"(0,)","(0.23,)",640,False,True,False,True,True,False
84,a8b5e441-8e22-4b43-8128-4fac92e64016,66,Female,Single,Medium,University,Jewellery designer,Rents,"(3,)","(0.29,)",753,True,True,True,True,False,False
85,158aedae-d2ef-44f3-84e3-39543676934d,40,Female,Single,High,University,"Therapist, horticultural",Owns house,"(3,)","(0.23,)",815,False,False,True,False,False,True
86,0a2a978a-f272-4fb0-aedd-fd0f2158a154,59,Female,Married,High,High School,"Radiographer, therapeutic",Owns house,"(0,)","(0.45,)",596,True,True,False,True,False,False
87,e345d858-283d-44d4-ba32-594c8a73a0ad,67,Male,Single,Low,High School,"Conservator, furniture",Living with parents,"(3,)","(0.17,)",424,True,True,True,True,False,True
88,1309f40b-555e-4302-8abc-a83dd492cf27,25,Male,Divorced,High,College,Chartered accountant,Rents,"(2,)","(0.13,)",823,True,False,True,True,False,True
89,e113d941-3e4e-4ec0-a4c7-d0db710fb612,45,Female,Married,Medium,College,Therapeutic radiographer,Owns house,"(1,)","(0.33,)",511,True,True,True,True,False,False
90,6c88f984-cc23-41fe-8b3e-e5d02e477502,55,Male,Divorced,Medium,University,"Conservation officer, nature",Living with parents,"(4,)","(0.1,)",789,True,True,False,True,True,False
91,2df5f075-62fa-4a76-b1bc-d27233ef000b,44,Male,Widowed,High,High School,Scientific laboratory technician,Rents,"(4,)","(0.2,)",778,True,False,False,True,True,True
92,3c91f090-0ddb-434c-b4d7-54c937e8506a,48,Male,Single,High,High School,Sports development officer,Owns house,"(2,)","(0.44,)",814,True,True,False,False,True,True
93,8084a0d8-d505-430f-8c4b-b0c6d1cac47b,25,Female,Divorced,Low,University,"Engineer, mining",Owns house,"(4,)","(0.29,)",625,True,True,False,False,True,True
94,dc302ce6-367b-4724-b78e-04a46060585b,39,Male,Single,High,High School,Production manager,Living with parents,"(1,)","(0.1,)",755,False,True,False,True,False,True
95,d5ab8a4c-7124-4ab2-b057-c8029f719294,21,Female,Divorced,Low,University,Oceanographer,Rents,"(2,)","(0.45,)",812,False,True,True,False,False,True
96,ceff749f-786e-49fd-a856-a09048a19512,55,Female,Married,High,University,Recycling officer,Rents,"(4,)","(0.5,)",479,True,True,False,False,True,True
97,d4195028-50a2-428a-867f-7a5a110dd0d4,29,Female,Divorced,High,University,Information officer,Rents,"(4,)","(0.23,)",682,True,False,True,False,True,False
98,e6e0bc7e-5ab4-4444-b6d7-030a01466803,31,Female,Divorced,Low,College,Special educational needs teacher,Owns house,"(1,)","(0.4,)",519,True,True,True,True,False,True
99,c6f22751-a02f-4d84-aa5a-bd778b8ffec7,61,Male,Widowed,Medium,University,"Pharmacist, hospital",Owns house,"(4,)","(0.1,)",592,True,True,True,False,True,False
100,1a777a1e-52e2-4df3-9977-a5dccd2d2cb8,63,Male,Widowed,Medium,University,Community pharmacist,Owns house,"(1,)","(0.38,)",750,False,True,True,True,False,True
101,fa28c752-c409-4337-bc2c-cbfaf992bf30,34,Male,Single,High,University,Illustrator,Living with parents,"(1,)","(0.47,)",450,True,True,False,True,True,False
102,8336f391-6b18-41ed-b145-fd9ea272816b,58,Male,Married,High,College,Occupational hygienist,Owns house,"(1,)","(0.47,)",652,False,True,True,True,True,False
103,aca15c5a-6a25-44c1-b7ff-bd8a47515b1d,27,Female,Single,High,High School,"Teacher, adult education",Rents,"(2,)","(0.41,)",719,False,True,True,True,True,False
104,3c4ddced-5dc2-4e7b-803e-02c30899c89a,26,Female,Divorced,Medium,University,Gaffer,Rents,"(0,)","(0.15,)",847,False,True,True,True,True,False
105,76abdcdc-d102-49b2-9c1c-b81c56424d6b,58,Female,Single,Medium,College,Lexicographer,Living with parents,"(2,)","(0.11,)",416,False,False,True,True,True,True
106,34aee727-9369-4bed-bda3-3fce87992c60,50,Female,Divorced,Medium,University,"Scientist, research (physical sciences)",Living with parents,"(0,)","(0.39,)",710,True,True,True,True,False,False
107,486f5dcf-b7b7-442b-944b-256813924f53,48,Male,Divorced,High,College,Market researcher,Living with parents,"(3,)","(0.38,)",779,True,True,True,False,False,True
108,c16d6a80-bc2d-4962-91ce-dc2073a74b5d,41,Male,Married,High,High School,Local government officer,Living with parents,"(1,)","(0.38,)",598,True,True,False,True,True,False
109,9d65b76e-93f9-4f59-adda-f5fb0c37a7be,66,Female,Divorced,High,High School,"Therapist, occupational",Rents,"(3,)","(0.32,)",569,False,True,True,False,True,False
110,a0ad12a6-3ba6-409f-abac-ed8d8dcd803d,68,Female,Married,Low,High School,Clinical psychologist,Rents,"(1,)","(0.36,)",544,True,True,True,True,True,True
111,35c2dcd8-c43d-4043-b517-e245c6350f61,69,Male,Single,High,High School,Leisure centre manager,Owns house,"(2,)","(0.32,)",810,False,False,True,True,True,True
112,189309bb-3ffc-45a3-a08f-418e5340d517,42,Female,Married,High,College,"Producer, television/film/video",Living with parents,"(3,)","(0.11,)",621,True,False,False,True,True,True
113,8550fea8-60d9-48cf-8010-cebc4d887eb0,20,Female,Divorced,Medium,College,"Designer, jewellery",Owns house,"(0,)","(0.11,)",490,False,True,True,False,True,True
114,429865a9-3424-4b36-b652-731bcb4f1036,34,Male,Widowed,Medium,High School,Insurance account manager,Rents,"(1,)","(0.37,)",689,False,True,True,True,True,True
115,9fef69c1-7caa-4552-aeaf-86453c02ec7c,26,Male,Married,High,High School,Control and instrumentation engineer,Rents,"(5,)","(0.25,)",436,True,True,False,True,False,True
116,21bedd9d-9e31-4358-a9c8-683523c5dd81,67,Female,Single,Medium,College,Chief Strategy Officer,Owns house,"(4,)","(0.36,)",451,True,False,False,True,True,True
117,898e60d7-5538-45a9-985c-7be51536bd7d,34,Female,Widowed,Medium,College,Emergency planning/management officer,Living with parents,"(5,)","(0.36,)",526,True,True,True,True,True,True
118,e485edd9-bbe3-4940-a7c1-e910d7d766c1,57,Female,Divorced,High,College,"Pilot, airline",Living with parents,"(1,)","(0.29,)",700,True,False,True,False,True,False
119,f1a9a502-e636-455f-855d-c843465699a5,60,Female,Divorced,Low,University,Best boy,Living with parents,"(3,)","(0.25,)",588,True,True,True,False,False,True
120,2e5518ae-fd80-40bc-9127-be3df144d9fc,23,Female,Married,Low,High School,Outdoor activities/education manager,Living with parents,"(2,)","(0.21,)",675,True,True,True,True,False,True
121,51cf0f0d-02ab-49e8-a71c-638740961ddc,53,Male,Single,Low,High School,Sports coach,Living with parents,"(5,)","(0.37,)",567,True,True,True,False,False,True
122,4938a728-1bff-4682-94ec-83c94edc9e28,43,Male,Single,High,High School,Operations geologist,Living with parents,"(0,)","(0.4,)",524,False,False,True,True,False,False
123,81007413-fbb9-43ce-8b6f-b8d53a6d4eb6,31,Male,Married,High,High School,Public house manager,Living with parents,"(5,)","(0.34,)",535,True,True,False,False,True,False
124,5f638188-16d8-4630-97f6-a06457c0c89d,59,Male,Widowed,Low,College,Site engineer,Owns house,"(5,)","(0.11,)",702,False,False,True,True,True,True
125,bbb60707-390b-412f-a7c8-349d367e02f2,70,Female,Divorced,Medium,University,Actor,Living with parents,"(5,)","(0.45,)",714,True,True,True,True,True,False
126,b39d8177-59f3-42e9-8eaf-74c4ba26fd96,64,Male,Widowed,Low,High School,"Therapist, music",Rents,"(4,)","(0.16,)",438,True,True,True,False,True,False
127,e19909df-99e4-469e-8a3e-318cb45d85c3,50,Male,Widowed,Medium,High School,Art gallery manager,Owns house,"(5,)","(0.11,)",667,True,True,True,True,True,True
128,eb61a128-4012-4970-83f2-85cbd70a5687,67,Male,Single,Medium,University,"Engineer, technical sales",Owns house,"(2,)","(0.2,)",695,False,True,True,True,True,False
129,3c7a37a4-4feb-4404-82c9-46d95ee9bb08,58,Male,Single,Low,College,Radio broadcast assistant,Rents,"(0,)","(0.38,)",821,False,True,False,False,True,True
130,2cea2d62-1c65-457b-845d-bb6f42e4cc0f,24,Male,Single,Low,University,Charity officer,Owns house,"(2,)","(0.24,)",820,False,False,True,True,False,False
131,5744def8-c600-4e86-80c9-2f445f8e280d,69,Female,Married,High,College,Film/video editor,Owns house,"(4,)","(0.16,)",775,True,False,True,True,True,False
132,80704d04-2e53-458b-94e1-65988f24dcc5,47,Male,Married,Medium,College,Copy,Living with parents,"(1,)","(0.21,)",513,True,True,True,True,True,True
133,5ffe6ecb-777b-416e-9e1d-8c224709effb,32,Female,Married,Low,University,"Engineer, civil (contracting)",Rents,"(5,)","(0.36,)",486,False,False,True,False,False,True
134,a5d91b2e-7e98-494f-a0d4-96b745b52b02,50,Male,Widowed,Low,University,Barrister's clerk,Living with parents,"(1,)","(0.36,)",485,True,False,False,True,True,False
135,64ac4c4e-1940-4ad1-8888-8037a5aa99cd,34,Male,Divorced,High,College,Archivist,Owns house,"(3,)","(0.36,)",597,True,False,False,False,True,False
136,ff540c7a-dcdd-40ae-989e-a3fad11895fa,40,Female,Widowed,Medium,High School,Aid worker,Owns house,"(2,)","(0.49,)",447,True,True,True,True,True,False
137,a50baeed-b61c-4f48-aafc-b4f319885242,54,Male,Widowed,Medium,High School,Press sub,Rents,"(5,)","(0.19,)",454,False,True,True,False,False,True
138,b49c05d7-689a-43a3-bd41-47850c9366fb,57,Male,Single,Medium,High School,Accommodation manager,Living with parents,"(1,)","(0.23,)",563,True,True,True,True,True,True
139,fc3f0014-3c31-4a6b-b979-8ac11cec90bd,41,Female,Divorced,Medium,University,Hospital doctor,Rents,"(4,)","(0.26,)",602,True,False,False,False,False,True
140,55d61048-5a89-4212-ba55-a33c1973e63e,50,Female,Single,Low,College,"Therapist, speech and language",Owns house,"(1,)","(0.46,)",757,False,True,True,True,False,False
141,bace7e25-2b0a-4b7c-8410-2ae9268e4d5a,55,Male,Widowed,High,University,Clothing/textile technologist,Rents,"(4,)","(0.16,)",515,True,True,True,True,False,True
142,8ac403f3-2268-4387-933a-5088c6410daf,30,Female,Widowed,Low,College,Forest/woodland manager,Living with parents,"(0,)","(0.11,)",420,True,False,True,False,True,True
143,05cd50a9-1555-442b-9f9a-0f817ce5f726,47,Male,Widowed,Low,University,Occupational hygienist,Rents,"(4,)","(0.19,)",480,True,True,False,True,True,True
144,aabe0113-30b0-47ef-b360-096c2810276f,33,Male,Single,Medium,College,Ranger/warden,Rents,"(5,)","(0.21,)",438,False,True,False,True,True,False
145,e57320ca-9b11-48d8-a65d-a575b33ccec8,41,Female,Divorced,Medium,University,Counselling psychologist,Rents,"(5,)","(0.17,)",597,True,False,False,False,False,True
146,73b1c3c8-f468-4fde-bba4-73698793e066,25,Female,Married,Medium,College,Dentist,Living with parents,"(5,)","(0.34,)",430,True,False,False,False,True,False
147,a8b89470-7385-4bbc-bc83-7168fad0e14d,65,Male,Married,Low,High School,"Surveyor, minerals",Rents,"(1,)","(0.28,)",669,True,False,False,True,True,True
148,56814282-575b-4831-8ffe-ce0162b278e1,65,Male,Married,High,High School,"Engineer, maintenance",Living with parents,"(1,)","(0.33,)",584,True,True,True,True,True,False
149,9b707aa4-7dea-418d-8800-ffff0e798729,70,Female,Married,Low,High School,Prison officer,Owns house,"(4,)","(0.37,)",479,False,True,False,False,True,False
150,1ce3c0cb-a9de-4b32-86db-8897ba8dd1af,57,Female,Divorced,Medium,High School,Art therapist,Living with parents,"(1,)","(0.25,)",539,True,False,False,True,True,True
151,2b8da669-ab85-4699-a4c4-36cb723d3538,57,Female,Married,Low,High School,"Journalist, magazine",Owns house,"(1,)","(0.43,)",693,True,True,True,True,True,False
152,69911d29-8574-4d1f-a8f1-72be12b6c7ed,68,Male,Widowed,Medium,College,Sales promotion account executive,Owns house,"(1,)","(0.34,)",661,False,False,True,True,True,True
153,a09af909-2e15-438b-8902-c4b337935796,44,Female,Single,High,University,Probation officer,Living with parents,"(2,)","(0.42,)",459,True,False,False,False,True,True
154,eded408c-376c-47cd-be77-28a65b28564f,49,Female,Widowed,Low,University,Television camera operator,Owns house,"(4,)","(0.19,)",773,False,True,True,True,False,True
155,78006c21-af90-4f55-9387-8bb8f010ce38,54,Male,Divorced,Low,High School,Data processing manager,Rents,"(5,)","(0.19,)",560,True,True,True,False,True,False
156,9d234191-351c-4bb3-a14b-7facffda4688,29,Male,Single,High,High School,Insurance claims handler,Living with parents,"(3,)","(0.41,)",752,False,True,False,False,False,True
157,570efcf1-d24f-43a5-86d7-da4b9c6a502c,32,Female,Widowed,Low,College,Information systems manager,Rents,"(0,)","(0.1,)",622,False,False,True,True,False,True
158,4a1c993d-af8e-4644-ae6b-e929625edf00,25,Female,Married,Low,College,"Producer, radio",Living with parents,"(3,)","(0.11,)",513,True,False,True,False,False,True
159,8ce65147-02d9-4ef6-ae25-7e5ea95e76db,32,Male,Divorced,High,University,Arts administrator,Living with parents,"(1,)","(0.47,)",479,False,True,True,True,True,True
160,2cb0d822-362c-40cf-bb54-c439306707e0,63,Female,Married,Low,University,Investment analyst,Rents,"(3,)","(0.25,)",755,True,True,True,True,False,True
161,9f5f9f29-9457-40e3-bd59-6d85a5261ad7,46,Male,Widowed,Low,College,"Producer, television/film/video",Owns house,"(5,)","(0.24,)",567,False,False,True,False,True,False
162,89a6eaf2-f58d-4c6b-849f-8384f09fcb8a,55,Female,Married,Low,College,Dietitian,Rents,"(5,)","(0.14,)",539,False,True,False,False,True,False
