text,fraud_status
The company’s board of directors regularly reviews financial reports for accuracy and compliance.,non-fraud
Regular audits are conducted to ensure compliance with financial data security regulations.,non-fraud
Inventory management practices ensure stock levels are accurately recorded and matched with physical counts.,non-fraud
The company created fake vendors to route funds and hide liabilities.,fraud
Severance pay and legal settlements were recorded as asset purchases.,fraud
Cybersecurity breaches were deliberately hidden from regulators to avoid legal scrutiny.,fraud
Payroll taxes were underreported to minimize expense recognition.,fraud
High-risk loans were issued to boost short-term revenue numbers.,fraud
Government grants were misused for unrelated corporate expenditures.,fraud
The company underreported revenue to avoid paying corporate taxes.,fraud
Falsified employee wages were claimed for fraudulent tax credits.,fraud
Investor communications include full transparency on financial performance and business risks.,non-fraud
Investors were misled about the company's profitability through altered SEC filings.,fraud
Unauthorized digital wallets were linked to corporate accounts for illicit transfers.,fraud
The company ensures compliance with industry regulations when recognizing revenue from long-term contracts.,non-fraud
Artificial discounts were applied to inflate sales figures before audits.,fraud
Bank reconciliations are performed regularly to ensure accurate cash balance reporting.,non-fraud
"The company ensures transparency in mergers, acquisitions, and restructuring activities.",non-fraud
Machinery and equipment that had been sold were still reported in financial records.,fraud
"The company has robust policies to prevent asset misappropriation, ensuring accountability at all levels.",non-fraud
Employee reimbursements are verified against company policies before approval.,non-fraud
The company included fake intellectual property rights as part of its assets.,fraud
Shareholder reports provide detailed breakdowns of financial performance and company strategy.,non-fraud
Research and development costs are capitalized or expensed in accordance with accounting standards.,non-fraud
Executive bonuses and compensation are fully disclosed in financial reports.,non-fraud
Investor communications include full transparency on financial performance and business risks.,non-fraud
Compliance officers ensure adherence to anti-corruption and anti-money laundering regulations.,non-fraud
The company's credit rating is regularly reviewed to ensure financial health.,non-fraud
Financial disclosures comply with all relevant regulatory requirements and accounting standards.,non-fraud
The financial statements are regularly audited to confirm revenue recognition policies comply with IFRS and GAAP.,non-fraud
Bank reconciliations were manipulated to hide embezzlement activities.,fraud
The company engaged in 'cookie jar accounting' to smooth out revenue fluctuations.,fraud
Stock options were granted based on fabricated financial growth projections.,fraud
The company used tax shelters to hide taxable profits in offshore accounts.,fraud
Company insiders manipulated stock prices by releasing false financial reports.,fraud
Fixed asset depreciation was ignored to falsely enhance the company’s financial position.,fraud
Debt write-offs were falsely categorized as profitable investments.,fraud
Customers were charged hidden fees that were not disclosed upfront.,fraud
Large wire transfers were conducted without proper documentation.,fraud
Employee reimbursements are verified against company policies before approval.,non-fraud
Executives engaged in insider trading without reporting to regulatory authorities.,fraud
Strict access controls are enforced to prevent unauthorized changes to financial databases.,non-fraud
Valuation reports for company-owned land were manipulated to attract investors.,fraud
Loan default risks were hidden from investors to maintain credit ratings.,fraud
The financial statements are regularly audited to confirm revenue recognition policies comply with IFRS and GAAP.,non-fraud
Multiple accounts were used to create a fraudulent perception of cash reserves.,fraud
The company maintains sufficient cash reserves to cover short-term obligations.,non-fraud
Employee reimbursement claims were falsified to siphon company funds.,fraud
Deferred revenue is properly recorded for contracts with ongoing service obligations.,non-fraud
Sales records are consistently reconciled with customer payments to prevent discrepancies.,non-fraud
User accounts were artificially created to inflate digital transaction numbers.,fraud
Loans from shell companies were falsely reported as legitimate revenue.,fraud
Executives authorized illegal cryptocurrency transactions under false pretenses.,fraud
Repayment obligations were omitted to create an illusion of higher liquidity.,fraud
Research grants were misused for executive bonuses but classified as R&D expenses.,fraud
Debt covenants were intentionally violated but not disclosed in financial reports.,fraud
Mortgage applications contained falsified income information to secure loans.,fraud
Fraudulent personal loans were granted using stolen identities.,fraud
The company recorded sales transactions with non-existent customers.,fraud
Annual and quarterly financial reports are made publicly available to all stakeholders.,non-fraud
Future sales were prematurely recognized to meet quarterly revenue targets.,fraud
Financial forecasts were exaggerated to secure additional investments.,fraud
The company inflated the value of cryptocurrency holdings without proper accounting measures.,fraud
Mergers and acquisitions were falsely announced to manipulate stock value.,fraud
Unreported pension obligations created a misleading picture of financial stability.,fraud
Deferred tax liabilities are calculated based on tax laws and reported transparently.,non-fraud
The company failed to remit employee tax withholdings to tax authorities.,fraud
Corporate treasury functions adhere to risk management best practices for cash handling.,non-fraud
High-value artwork was purchased using company funds and misclassified as office supplies.,fraud
Performance metrics such as return on equity (ROE) and earnings per share (EPS) are accurately reported.,non-fraud
The company discloses executive compensation and stock options in its annual filings.,non-fraud
Deferred liabilities were incorrectly recorded as long-term assets.,fraud
Strict access controls are enforced to prevent unauthorized changes to financial databases.,non-fraud
Sales records are consistently reconciled with customer payments to prevent discrepancies.,non-fraud
Obsolete technology was reported as cutting-edge innovation in financial statements.,fraud
Market rumors were spread to artificially inflate share prices before selling holdings.,fraud
Marketing expenditures were misclassified as technology investments to show higher profitability.,fraud
The CFO and senior executives certify the accuracy of financial reports before filing with regulatory bodies.,non-fraud
